,created,text,entities,geo,,,X,Y
12125,2020-08-01 05:49:42,b'#MASKUP  #ManagingThisTogether @ Yarradene Arabians - Romany Park https://t.co/O72CPQTuoq',"{'hashtags': [{'text': 'MASKUP', 'indices': [0, 7]}, {'text': 'ManagingThisTogether', 'indices': [9, 30]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O72CPQTuoq', 'expanded_url': 'https://www.instagram.com/p/CDVeX3DD5wf/?igshid=iv1m9yog6afe', 'display_url': 'instagram.com/p/CDVeX3DD5wf/…', 'indices': [66, 89]}]}","[-37.79842756, 145.65458855]}",,,-37.79842756,145.65458855
4893,2020-08-06 05:48:29,b'This is what\xe2\x80\x99s pressing the pedal today. Just because it\xe2\x80\x99s #ISO doesn\xe2\x80\x99t mean we can\xe2\x80\x99t #fancyup!\xe2\x80\xa6 https://t.co/OlzHzzmXTa',"{'hashtags': [{'text': 'ISO', 'indices': [59, 63]}, {'text': 'fancyup', 'indices': [86, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OlzHzzmXTa', 'expanded_url': 'https://twitter.com/i/web/status/1291249766689456134', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]}","[-37.8156, 144.9661]}",,,-37.8156,144.9661
10976,2020-08-02 05:11:22,b'Well in melbourne_insta we\xe2\x80\x99re in Stage 4 lockdown and new restrictions are in play as of today/tomorrow.\xe2\x80\xa6 https://t.co/evcMmCEERp',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/evcMmCEERp', 'expanded_url': 'https://twitter.com/i/web/status/1289790877360168962', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}","[-37.8156, 144.9661]}",,,-37.8156,144.9661
6668,2020-08-05 03:22:11,"b""Today's helper, who helped me put together adoption packs \xf0\x9f\x90\xb6 he did a very good job at helping!  #volunteerlife\xe2\x80\xa6 https://t.co/rhzNoniaVx""","{'hashtags': [{'text': 'volunteerlife', 'indices': [96, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rhzNoniaVx', 'expanded_url': 'https://twitter.com/i/web/status/1290850560804085760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}","[-37.85172402, 145.13439467]}",,,-37.85172402,145.13439467
6830,2020-08-05 00:16:01,b'Spotted some #doggo #stuffies just hangin out in #Williamstown #TreePups\n#Lockdown #MaskUp #OneHourExercise @ Willi\xe2\x80\xa6 https://t.co/yqu4GeqjF4',"{'hashtags': [{'text': 'doggo', 'indices': [13, 19]}, {'text': 'stuffies', 'indices': [20, 29]}, {'text': 'Williamstown', 'indices': [49, 62]}, {'text': 'TreePups', 'indices': [63, 72]}, {'text': 'Lockdown', 'indices': [73, 82]}, {'text': 'MaskUp', 'indices': [83, 90]}, {'text': 'OneHourExercise', 'indices': [91, 107]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yqu4GeqjF4', 'expanded_url': 'https://twitter.com/i/web/status/1290803710856032257', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","[-37.8663, 144.8985]}",,,-37.8663,144.8985
3333,2020-08-07 01:44:26,b'Stay safe with COVID everyone but don\xe2\x80\x99t forget about the Drop Bears. They\xe2\x80\x99re still out and about.\xe2\x80\xa6 https://t.co/aw53uiYaUI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aw53uiYaUI', 'expanded_url': 'https://twitter.com/i/web/status/1291550738435518466', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [99, 122]}]}","{'type': 'Point', 'coordinates': [-38.0333, 145.117]}","-38.0333, 145.117]}","-38.0333, 145.117",-38.0333, 145.117
1500,2020-08-08 04:50:40,"b""Hee hee hee... Let's see how I look after 10 days.\n\nhttps://t.co/vzW0pZGjrh\n\n#maskup\n#sheetmask @ Singapore https://t.co/eOCouIMZI6""","{'hashtags': [{'text': 'maskup', 'indices': [77, 84]}, {'text': 'sheetmask', 'indices': [85, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vzW0pZGjrh', 'expanded_url': 'https://bit.ly/3hpjUke', 'display_url': 'bit.ly/3hpjUke', 'indices': [52, 75]}, {'url': 'https://t.co/eOCouIMZI6', 'expanded_url': 'https://www.instagram.com/p/CDnZPl7H8Lg/?igshid=12fkgs8vrvz0z', 'display_url': 'instagram.com/p/CDnZPl7H8Lg/…', 'indices': [108, 131]}]}","{'type': 'Point', 'coordinates': [1.29306, 103.856]}","1.29306, 103.856]}","1.29306, 103.856",1.29306, 103.856
8017,2020-08-04 10:35:37,"b'Went to meet a friend.\nFelt so odd dressed up, necklace and all \xf0\x9f\x98\x85\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\n#COVID19 #thenewnormal #learning #oldmenew\xe2\x80\xa6 https://t.co/KqMhuW96CK'","{'hashtags': [{'text': 'COVID19', 'indices': [68, 76]}, {'text': 'thenewnormal', 'indices': [77, 90]}, {'text': 'learning', 'indices': [91, 100]}, {'text': 'oldmenew', 'indices': [101, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KqMhuW96CK', 'expanded_url': 'https://twitter.com/i/web/status/1290597250733715461', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}","{'type': 'Point', 'coordinates': [1.29306, 103.856]}","1.29306, 103.856]}","1.29306, 103.856",1.29306, 103.856
2566,2020-08-07 15:14:56,b'My #2020challenge . It\xe2\x80\x99s all about the mask\xf0\x9f\x98\x82 #covidthreatisreal #maskup             Let\xe2\x80\x99s all pray for the world\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x80\xa6 https://t.co/qTYxnpZfbw',"{'hashtags': [{'text': '2020challenge', 'indices': [3, 17]}, {'text': 'covidthreatisreal', 'indices': [45, 63]}, {'text': 'maskup', 'indices': [64, 71]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qTYxnpZfbw', 'expanded_url': 'https://twitter.com/i/web/status/1291754708814635008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'type': 'Point', 'coordinates': [10.6232, 103.5251]}","10.6232, 103.5251]}","10.6232, 103.5251",10.6232, 103.5251
8876,2020-08-03 19:59:44,b'surfandshore wearing his elevation mask \xf0\x9f\x98\xb7 during today\xe2\x80\x99s WOD. Remember when these were an \xe2\x80\x9cin\xe2\x80\x9d thing? \xf0\x9f\x98\x82 #maskup\xe2\x80\xa6 https://t.co/AJv616LrEk',"{'hashtags': [{'text': 'maskup', 'indices': [104, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AJv616LrEk', 'expanded_url': 'https://twitter.com/i/web/status/1290376829325455361', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}","{'type': 'Point', 'coordinates': [21.30209, -157.86067]}","21.30209, -157.86067]}","21.30209, -157.86067",21.30209, -157.86067
